2026-05-27 23:08:33,475 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:08:33,986 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/sendChatAction "HTTP/1.1 200 OK"
2026-05-27 23:08:34,625 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-27 23:08:36,100 | ERROR | yfinance | 429 Client Error: Too Many Requests for url: https://query2.finance.yahoo.com/v10/finance/quoteSummary/INVD.TA?modules=financialData%2CquoteType%2CdefaultKeyStatistics%2CassetProfile%2CsummaryDetail&corsDomain=finance.yahoo.com&formatted=false&symbol=INVD.TA&crumb=Edge%3A+Too+Many+Requests
2026-05-27 23:08:37,354 | ERROR | src.tools.get_stock_data | get_stock_data failed for INVD.TA: Expecting value: line 1 column 1 (char 0)
2026-05-27 23:08:38,501 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-27 23:08:39,450 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-05-27 23:08:39,450 | INFO | groq._base_client | Retrying request to /openai/v1/chat/completions in 3.000000 seconds
2026-05-27 23:08:43,528 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-27 23:08:43,640 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:08:43,903 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/sendMessage "HTTP/1.1 200 OK"
2026-05-27 23:08:53,760 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:08:55,210 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:08:55,557 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/sendChatAction "HTTP/1.1 200 OK"
2026-05-27 23:08:55,884 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
2026-05-27 23:08:55,885 | INFO | groq._base_client | Retrying request to /openai/v1/chat/completions in 13.000000 seconds
2026-05-27 23:09:05,293 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:09:12,092 | INFO | httpx | HTTP Request: POST https://api.groq.com/openai/v1/chat/completions "HTTP/1.1 200 OK"
2026-05-27 23:09:12,480 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/sendMessage "HTTP/1.1 200 OK"
2026-05-27 23:09:15,376 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:09:25,467 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:09:35,550 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:09:45,702 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:09:55,785 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:10:05,870 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:10:16,051 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:10:26,135 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:10:36,325 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:10:46,418 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:10:56,506 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:11:06,632 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:11:16,802 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:11:26,909 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:11:36,999 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:11:47,083 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:11:57,222 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:12:07,359 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:12:17,445 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:12:27,634 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:12:37,718 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:12:47,909 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:12:58,046 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:13:08,132 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:13:18,217 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:13:22,770 | INFO | httpx | HTTP Request: POST https://api.telegram.org/bot8993964573:AAENK5cGYkcYb8uD7FeP8zEHnL5uGPE0SvE/getUpdates "HTTP/1.1 200 OK"
2026-05-27 23:13:22,771 | INFO | telegram.ext.Application | Application is stopping. This might take a moment.
2026-05-27 23:13:22,772 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-05-27 23:13:22,783 | INFO | telegram.ext.Application | Application.stop() complete
